date,download,upload
"2016-08-04T00:00:23.154910","84.7372169485 Mb/s","29.423785188 Mb/s"
"2016-08-04T00:30:51.536722","53.8996964058 Mb/s","38.444362737 Mb/s"
"2016-08-04T01:00:30.701544","46.0481638182 Mb/s","46.634844501 Mb/s"
"2016-08-04T01:30:29.866986","124.458381363 Mb/s","46.370571293 Mb/s"
"2016-08-04T02:00:30.466178","140.916121425 Mb/s","43.7919626793 Mb/s"
"2016-08-04T02:30:25.595858","104.405557855 Mb/s","35.6564517454 Mb/s"
"2016-08-04T03:00:45.843273","55.6667490977 Mb/s","37.9708587369 Mb/s"
"2016-08-04T03:30:23.431396","143.532847734 Mb/s","41.4147294533 Mb/s"
"2016-08-04T04:00:22.967521","183.297859083 Mb/s","74.4041014607 Mb/s"
"2016-08-04T04:30:37.414203","81.5681412713 Mb/s","42.055798255 Mb/s"
"2016-08-04T05:00:25.307646","175.134487387 Mb/s","67.2080640284 Mb/s"
"2016-08-04T05:30:38.403465","71.9494432841 Mb/s","27.9259869133 Mb/s"
"2016-08-04T06:00:49.594460","77.5390973669 Mb/s","30.6923539239 Mb/s"
"2016-08-04T06:30:40.887274","64.5827946631 Mb/s","43.2511813045 Mb/s"
"2016-08-04T07:00:24.311885","67.0824381321 Mb/s","40.6081195345 Mb/s"
"2016-08-04T07:30:28.533273","74.9599842754 Mb/s","44.40320476 Mb/s"
"2016-08-04T08:00:22.241120","106.650268832 Mb/s","42.6453934411 Mb/s"
"2016-08-04T08:30:25.161273","182.006791947 Mb/s","59.4915207927 Mb/s"
"2016-08-04T09:00:19.382796","45.8555119041 Mb/s","43.859342745 Mb/s"
"2016-08-04T09:30:33.339495","107.222631561 Mb/s","33.8506978784 Mb/s"
"2016-08-04T10:00:24.686257","106.235720504 Mb/s","40.1360781658 Mb/s"
"2016-08-04T10:30:25.901202","94.9386696556 Mb/s","36.7351367685 Mb/s"
