date,size,time,hash
"2016-08-10T01:01:28.110999"," 2.07 MiB ","87.87","33b2b00a35d899e4d426e19d953f14e68629aaf8"
"2016-08-10T02:00:44.519909"," 1.89 MiB ","43.71","feb88bf8f7c22bbf2fddc5af0da5108c51c4016f"
"2016-08-10T03:00:46.524915"," 2.01 MiB ","46.25","0512b6fee2398a07077df6d8c435045ef727b186"
"2016-08-10T04:01:30.170412"," 1.81 MiB ","89.34","32832b939480a1538c1ab5b1c534392ce8e651c9"
"2016-08-10T05:01:30.239935"," 1.65 MiB ","89.72","1f985cfe1a369e2796cdfe668867c7e79e377868"
"2016-08-10T06:01:44.459869"," 832.51 KiB ","103.63","66ab3c4f1f47746051c8cde82bf5a85b78adf277"
"2016-08-10T07:01:28.780327"," 1.05 MiB ","88.51","339326cc3fb1f407767527a929a69af0d801cd94"
"2016-08-10T08:00:44.999796"," 980.89 KiB ","44.17","bf6ea95fefb782611e0c8ab3b4793129b8635baa"
"2016-08-10T09:00:46.197046"," 966.34 KiB ","46.02","bf6ea95fefb782611e0c8ab3b4793129b8635baa"
"2016-08-10T10:01:30.223929"," 465.46 KiB ","89.39","396e0736467be6fe49cfb2506cf2efa7228f3228"
"2016-08-10T11:01:30.973618"," 1.04 MiB ","90.08","059c8cc9e90f79b3d8d0f695b30596df9135c5d5"
"2016-08-10T12:01:29.945786"," 898.35 KiB ","89.52","2951698323996e5918cd95b798937f2ed73cd5ac"
"2016-08-10T13:01:29.153292"," 812.88 KiB ","88.64","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-10T14:00:45.263230"," 831.55 KiB ","44.29","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-10T15:00:47.517613"," 975.85 KiB ","46.81","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-10T16:01:31.026394"," 1.03 MiB ","89.86","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-10T17:01:31.188047"," 820.54 KiB ","90.26","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-10T18:01:30.112648","0 MiB","89.48","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-11T23:00:23.337696","0 MiB","23.01","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-12T00:00:22.887767","0 MiB","21.75","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-12T01:00:23.440684","0 MiB","22.59","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-12T02:00:21.629767","0 MiB","21.17","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-12T03:00:22.285441","0 MiB","21.14","d44edc062ea5cb6c830d5dec72292aab7bb43670"
"2016-08-12T04:00:22.611480","0 MiB","21.76","d44edc062ea5cb6c830d5dec72292aab7bb43670"
